,Visitor,G,Home,G.1,Total_goal,Rk,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GF/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,Assist-EV,PP,Assist-SH,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,Rk,Age,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TK,GV,SAtt,Thru%,Rk,Age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%,GSAA,G,A,PTS,PIM,Rk,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,GF/G,GF/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,Rk,Age,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,Assist-EV,PP,Assist-SH,S,S%,TOI,BLK,HIT,FOW,FOL,FO%,Rk,Age,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TK,GV,SAtt,Thru%,Rk,Age,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%,GSAA,G,A,PTS,PIM
149,Anaheim Ducks,2,San Jose Sharks,5,7,11,28.9,82,47,30,5,99,0.604,235,233,4,2,0.09,0.05,2.87,2.84,67,285,23.51,57,305,81.31,7,7,14.4,13.4,2334,10.1,2648,0.912,7,444.4117647058824,28.08823529411765,43.411764705882355,6.911764705882353,12.205882352941176,19.11764705882353,-1.9705882352941178,34.05882352941177,2.276470588235294,4.735294117647059,1.9705882352941178,0.20588235294117646,1.2647058823529411,8.117647058823529,3.823529411764706,0.2647058823529412,68.6470588235294,6.239393939393938,715.5882352941177,36.705882352941174,56.94117647058823,64.88235294117646,71.20588235294117,38.80952380952381,445.375,28.208333333333332,53.708333333333336,597.875,733.0416666666666,43.479166666666664,-2.0,464.2916666666667,555.0416666666666,44.10833333333333,-1.4304347826086956,6.954166666666668,91.44583333333333,98.39999999999998,55.04999999999999,44.949999999999996,17.583333333333332,23.5,153.58333333333334,55.52083333333332,42.0,26.8,18.8,16.4,9.4,6.0,1.0,45.0,528.2,483.2,0.8480000000000001,3.632,1.4,3.2800000000000002,992.8,8.6,0.51025,2.6,103.66666666666667,1.7766666666666662,0.0,0.4,0.4,0.0,5,27.9,82,48,25,9,105,0.64,243,208,5,5,0.44,0.02,2.96,2.54,68,290,23.45,56,273,79.49,6,7,11.3,12.0,2832,8.6,2368,0.912,6,472.8965517241379,26.75862068965517,50.89655172413793,8.379310344827585,14.655172413793103,23.03448275862069,3.793103448275862,31.620689655172413,3.037931034482759,5.827586206896552,2.3448275862068964,0.20689655172413793,1.4827586206896552,10.172413793103448,4.344827586206897,0.13793103448275862,97.65517241379311,6.982758620689654,842.1034482758621,39.3448275862069,62.06896551724138,89.0,76.6896551724138,45.51176470588235,472.7307692307692,26.923076923076923,53.92307692307692,752.1923076923077,654.0,51.0576923076923,-1.6239999999999994,559.5384615384615,482.61538461538464,50.96923076923077,-1.7120000000000004,7.3076923076923075,92.10384615384616,99.41538461538464,49.94230769230769,50.05769230769231,25.115384615384617,28.96153846153846,194.19230769230768,52.76153846153846,70.66666666666667,26.666666666666668,28.333333333333332,27.333333333333332,16.0,8.333333333333334,3.0,68.0,788.3333333333334,720.3333333333334,0.9386666666666666,1.6966666666666665,2.0,4.733333333333333,1656.0,16.0,0.5585,3.6666666666666665,105.5,0.625,0.0,0.3333333333333333,0.3333333333333333,1.3333333333333333
150,Atlanta Thrashers,3,St. Louis Blues,4,7,25,26.1,82,34,36,12,80,0.488,218,262,5,7,-0.57,-0.01,2.66,3.2,53,289,18.34,64,285,77.54,6,10,11.3,10.7,2581,8.4,2638,0.901,5,456.1714285714286,25.942857142857143,42.142857142857146,6.228571428571429,10.228571428571428,16.457142857142856,-5.114285714285714,25.714285714285715,1.7371428571428564,4.542857142857143,1.5142857142857142,0.17142857142857143,0.8285714285714286,7.171428571428572,2.8857142857142857,0.17142857142857143,73.74285714285715,6.647058823529412,699.2285714285714,36.2,42.77142857142857,65.11428571428571,68.57142857142857,40.434999999999995,438.0416666666667,24.833333333333332,47.833333333333336,619.2083333333334,644.4583333333334,48.387499999999996,-2.918181818181819,469.875,469.0,51.73333333333333,-1.1090909090909093,6.2,90.32608695652173,96.78695652173913,55.962500000000006,44.037499999999994,25.875,19.541666666666668,152.75,55.958333333333336,60.0,27.666666666666668,31.0,27.0,11.333333333333334,12.0,4.0,82.33333333333333,874.3333333333334,792.0,0.8890000000000001,3.4133333333333336,1.6666666666666667,4.466666666666667,1660.0,11.666666666666666,0.40700000000000003,4.666666666666667,111.5,-8.315,0.0,0.0,0.0,2.6666666666666665,20,25.7,82,38,33,11,87,0.53,236,228,4,6,0.11,0.04,2.88,2.78,52,279,18.64,51,279,81.72,7,1,14.9,15.5,2475,9.5,2274,0.9,10,435.42424242424244,25.21212121212121,44.72727272727273,7.151515151515151,11.909090909090908,19.060606060606062,0.7272727272727273,36.333333333333336,2.3939393939393927,5.363636363636363,1.5757575757575757,0.21212121212121213,1.0303030303030303,8.757575757575758,2.9393939393939394,0.21212121212121213,75.0,7.960606060606058,738.5454545454545,33.303030303030305,59.333333333333336,66.06060606060606,73.57575757575758,41.728571428571435,423.1923076923077,25.0,43.84615384615385,559.5,503.03846153846155,51.026923076923076,-0.953846153846154,418.96153846153845,372.6923076923077,51.75384615384616,-0.7615384615384616,7.703846153846153,90.08076923076925,97.78076923076921,57.43076923076922,42.56923076923078,14.384615384615385,10.961538461538462,137.92307692307693,53.39999999999999,18.0,27.666666666666668,29.666666666666668,27.333333333333332,12.666666666666666,11.0,3.6666666666666665,74.0,756.0,682.0,0.8966666666666666,2.8233333333333337,3.3333333333333335,3.533333333333333,1649.3333333333333,13.333333333333334,0.4203333333333334,5.666666666666667,119.5,-11.030000000000001,0.0,0.0,0.0,3.3333333333333335
151,New York Rangers,2,Toronto Maple Leafs,0,2,18,26.2,82,44,33,5,93,0.567,224,195,9,3,0.37,-0.06,2.73,2.38,49,290,16.9,42,257,83.66,11,5,13.1,14.6,2453,9.1,2410,0.919,11,415.03125,26.4375,46.125,7.0,11.875,18.875,2.6875,32.9375,2.637500000000001,5.125,1.53125,0.34375,1.09375,8.59375,2.78125,0.5,76.65625,7.648387096774193,762.65625,40.65625,72.90625,68.59375,75.125,40.95294117647058,387.6551724137931,26.03448275862069,47.86206896551724,587.2068965517242,612.1379310344828,48.05172413793103,-4.7,443.37931034482756,438.51724137931035,48.71724137931035,-5.578571428571428,6.896551724137932,92.64482758620689,99.55172413793105,53.14137931034483,46.85862068965517,19.689655172413794,13.275862068965518,144.75862068965517,53.52068965517241,31.666666666666668,28.333333333333332,28.666666666666668,27.333333333333332,14.666666666666666,11.0,1.6666666666666667,62.333333333333336,800.6666666666666,738.3333333333334,0.888,3.4699999999999993,3.6666666666666665,5.633333333333333,1651.6666666666667,15.333333333333334,0.6020000000000001,3.3333333333333335,89.0,11.645,0.0,1.3333333333333333,1.3333333333333333,2.0,22,25.7,82,37,34,11,85,0.518,213,245,5,6,-0.41,0.0,2.6,2.99,52,326,15.95,62,275,77.45,5,8,12,13.7,2360,9.0,2540,0.904,3,365.93939393939394,25.181818181818183,44.72727272727273,6.454545454545454,10.848484848484848,17.303030303030305,-3.393939393939394,29.12121212121212,1.9363636363636365,4.7272727272727275,1.5757575757575757,0.15151515151515152,0.9696969696969697,7.757575757575758,2.9696969696969697,0.12121212121212122,71.51515151515152,6.43030303030303,739.6666666666666,40.09090909090909,62.06060606060606,71.84848484848484,70.54545454545455,36.76818181818181,358.0,24.75862068965517,44.241379310344826,539.0689655172414,591.2758620689655,47.86551724137931,-1.479310344827586,382.2413793103448,432.6551724137931,46.658620689655166,-2.2482758620689656,6.951724137931033,93.25862068965519,100.21379310344828,50.010344827586216,49.996551724137916,16.413793103448278,23.413793103448278,134.93103448275863,50.67586206896552,45.0,27.0,31.0,27.333333333333332,12.333333333333334,11.333333333333334,3.6666666666666665,78.66666666666667,843.6666666666666,765.0,0.9036666666666667,2.9166666666666665,1.0,4.433333333333334,1651.6666666666667,13.333333333333334,0.462,3.6666666666666665,110.66666666666667,-5.170000000000001,0.0,0.3333333333333333,0.3333333333333333,2.0
152,Chicago Blackhawks,2,New York Rangers,3,5,13,26.7,82,44,29,9,97,0.591,252,220,6,5,0.41,0.01,3.07,2.68,64,277,23.1,53,255,79.22,6,4,9.0,9.5,2637,9.6,2354,0.907,5,414.8125,25.84375,46.09375,7.875,13.625,21.5,2.875,22.25,2.7656249999999996,5.6875,2.0,0.1875,1.1875,9.46875,3.90625,0.25,82.40625,6.919354838709676,765.0,35.75,56.96875,75.4375,73.03125,43.92727272727273,425.44444444444446,25.85185185185185,49.44444444444444,655.2962962962963,585.1481481481482,47.818518518518516,-5.8730769230769235,494.0,433.55555555555554,48.644444444444446,-5.138461538461538,8.034615384615385,91.77692307692308,99.82307692307693,55.670370370370364,44.333333333333336,26.14814814814815,20.074074074074073,158.0,58.89615384615384,50.5,30.5,43.0,41.0,22.0,14.5,4.5,105.0,1172.0,1067.0,0.907,2.66,2.5,6.65,2484.0,22.0,0.494,5.5,106.5,-2.9000000000000004,0.0,0.5,0.5,4.0,18,26.2,82,44,33,5,93,0.567,224,195,9,3,0.37,-0.06,2.73,2.38,49,290,16.9,42,257,83.66,11,5,13.1,14.6,2453,9.1,2410,0.919,11,415.03125,26.4375,46.125,7.0,11.875,18.875,2.6875,32.9375,2.637500000000001,5.125,1.53125,0.34375,1.09375,8.59375,2.78125,0.5,76.65625,7.648387096774193,762.65625,40.65625,72.90625,68.59375,75.125,40.95294117647058,387.6551724137931,26.03448275862069,47.86206896551724,587.2068965517242,612.1379310344828,48.05172413793103,-4.7,443.37931034482756,438.51724137931035,48.71724137931035,-5.578571428571428,6.896551724137932,92.64482758620689,99.55172413793105,53.14137931034483,46.85862068965517,19.689655172413794,13.275862068965518,144.75862068965517,53.52068965517241,31.666666666666668,28.333333333333332,28.666666666666668,27.333333333333332,14.666666666666666,11.0,1.6666666666666667,62.333333333333336,800.6666666666666,738.3333333333334,0.888,3.4699999999999993,3.6666666666666665,5.633333333333333,1651.6666666666667,15.333333333333334,0.6020000000000001,3.3333333333333335,89.0,11.645,0.0,1.3333333333333333,1.3333333333333333,2.0
153,Carolina Hurricanes,2,Philadelphia Flyers,3,5,19,26.6,82,40,31,11,91,0.555,231,234,5,5,-0.08,-0.04,2.82,2.85,55,346,15.9,51,272,81.25,7,6,10.2,12.8,2517,9.2,2725,0.914,4,424.875,26.0625,46.125,7.21875,12.09375,19.3125,-1.21875,25.53125,2.3187499999999996,5.28125,1.71875,0.21875,1.09375,8.59375,3.3125,0.1875,78.65625,7.390322580645161,762.4375,36.96875,65.78125,67.59375,83.75,34.080952380952375,442.35,25.1,59.1,811.45,846.55,48.59,-1.3684210526315788,583.0,645.0,47.31000000000002,-1.7578947368421047,7.764999999999999,92.30500000000002,100.06499999999998,48.370000000000005,51.629999999999995,29.4,23.3,208.25,53.754999999999995,78.0,25.0,43.0,40.5,20.0,15.5,5.5,113.5,1359.0,1245.5,0.899,3.27,2.0,8.65,2483.0,23.0,0.482,4.5,116.5,4.89,0.0,0.5,0.5,2.0,4,27.6,82,47,23,12,106,0.646,256,216,3,7,0.4,-0.04,3.12,2.63,49,295,16.61,54,313,82.75,13,5,13.6,13.3,2605,9.8,2471,0.913,0,461.0,27.14814814814815,54.666666666666664,9.481481481481481,15.74074074074074,25.22222222222222,7.925925925925926,41.074074074074076,3.3481481481481477,7.185185185185185,1.8148148148148149,0.48148148148148145,1.6296296296296295,11.925925925925926,3.3703703703703702,0.4444444444444444,96.48148148148148,6.938461538461538,899.0370370370371,48.77777777777778,70.55555555555556,92.0,90.88888888888889,41.93125,448.3333333333333,27.166666666666668,59.791666666666664,772.2083333333334,783.7916666666666,47.91666666666666,-4.1521739130434785,577.5833333333334,569.5833333333334,48.73333333333333,-4.126086956521739,7.845833333333332,92.05,99.88333333333333,46.525000000000006,53.474999999999994,23.125,24.375,193.66666666666666,52.479166666666664,22.0,28.333333333333332,29.666666666666668,27.333333333333332,15.666666666666666,7.666666666666667,4.0,70.0,821.6666666666666,751.6666666666666,0.9066666666666666,3.0066666666666664,0.0,5.066666666666667,1654.0,17.0,0.41333333333333333,3.0,97.5,2.8049999999999997,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
154,New Jersey Devils,0,Vancouver Canucks,3,3,23,29.9,82,38,39,5,81,0.494,171,207,3,2,-0.41,0.02,2.09,2.52,34,237,14.35,40,241,83.4,3,8,9.3,9.6,2344,7.3,2152,0.904,9,529.9428571428572,26.65714285714286,42.0,4.885714285714286,8.142857142857142,13.028571428571428,-4.428571428571429,21.17142857142857,1.717142857142857,3.8285714285714287,0.9714285714285714,0.08571428571428572,1.0,6.142857142857143,1.8857142857142857,0.11428571428571428,66.97142857142858,5.644117647058823,696.1714285714286,25.0,43.97142857142857,62.457142857142856,59.57142857142857,41.63157894736841,542.21875,26.0625,42.46875,491.96875,453.8125,50.284375,-2.4451612903225795,377.84375,347.375,50.996875,-1.6741935483870964,6.2749999999999995,91.08437499999998,97.36562499999998,53.49374999999999,46.50625000000001,14.875,18.8125,117.0625,55.909677419354836,34.333333333333336,34.0,30.666666666666668,27.333333333333332,12.666666666666666,13.0,1.6666666666666667,67.0,715.3333333333334,648.3333333333334,0.9026666666666667,2.6266666666666665,3.0,3.6999999999999993,1650.3333333333333,15.0,0.383,4.333333333333333,105.5,-6.465,0.0,1.0,1.0,2.0,1,28.1,82,54,19,9,117,0.713,258,180,4,5,0.87,-0.07,3.15,2.2,72,296,24.32,45,312,85.58,6,2,11.5,11.2,2624,9.8,2470,0.927,5,456.9189189189189,26.56756756756757,39.86486486486486,6.972972972972973,12.0,18.972972972972972,6.621621621621622,25.16216216216216,2.7810810810810813,4.864864864864865,1.945945945945946,0.16216216216216217,1.3513513513513513,8.162162162162161,3.7027027027027026,0.13513513513513514,70.91891891891892,9.813513513513513,655.8108108108108,28.945945945945947,48.4054054054054,71.70270270270271,59.0,45.06818181818181,461.3142857142857,26.6,41.2,547.2857142857143,496.0285714285714,49.24285714285715,-3.8617647058823525,407.8,372.25714285714287,49.425714285714285,-3.805882352941176,9.251428571428571,93.0142857142857,102.26857142857145,49.30571428571429,50.69714285714285,16.514285714285716,14.428571428571429,137.2,51.77142857142858,66.0,27.5,42.5,41.0,27.0,9.5,4.5,88.5,1233.5,1145.0,0.9285000000000001,2.17,2.5,9.6,2481.0,27.5,0.6745000000000001,3.5,82.5,18.955,0.0,3.0,3.0,1.0
155,Montreal Canadiens,0,Columbus Blue Jackets,3,3,14,27.6,82,44,30,8,96,0.585,213,206,3,3,0.05,-0.04,2.6,2.51,57,290,19.66,51,327,84.4,5,6,13.3,12.9,2602,8.2,2537,0.919,8,460.5625,27.09375,46.125,6.65625,11.3125,17.96875,-0.09375,32.9375,2.4000000000000004,4.71875,1.78125,0.15625,1.28125,7.8125,3.3125,0.1875,81.3125,6.159374999999999,755.09375,39.75,51.8125,72.15625,75.09375,37.016666666666666,441.7307692307692,26.923076923076923,52.15384615384615,690.0384615384615,648.2692307692307,50.91153846153845,0.4653846153846153,509.2307692307692,469.6923076923077,50.95000000000001,-0.4769230769230775,6.7576923076923086,92.80384615384614,99.56153846153846,50.91923076923077,49.08076923076923,18.76923076923077,22.53846153846154,173.03846153846155,51.51923076923078,37.0,26.5,44.0,41.0,22.0,15.0,4.0,99.0,1265.0,1166.0,0.9185000000000001,2.495,4.0,8.85,2477.5,24.0,0.55,5.5,93.5,11.205,0.0,1.5,1.5,7.5,24,26.8,82,34,35,13,81,0.494,210,250,5,8,-0.45,0.08,2.56,3.05,42,301,13.95,62,314,80.25,6,11,13.6,13.8,2506,8.4,2447,0.898,6,460.0,26.352941176470587,43.411764705882355,6.176470588235294,10.970588235294118,17.147058823529413,-3.176470588235294,32.205882352941174,1.7999999999999998,4.764705882352941,1.2352941176470589,0.17647058823529413,0.8529411764705882,8.323529411764707,2.3529411764705883,0.29411764705882354,73.70588235294117,8.106060606060607,716.5588235294117,32.76470588235294,68.08823529411765,72.32352941176471,68.97058823529412,50.0909090909091,444.23333333333335,25.966666666666665,45.9,558.6,534.7,50.13,-1.1933333333333336,420.0,400.3666666666667,50.10999999999999,-1.61,7.173333333333335,90.51333333333334,97.68666666666668,53.04,46.96,16.366666666666667,11.1,144.7,52.040000000000006,45.0,27.333333333333332,30.333333333333332,27.333333333333332,11.333333333333334,11.666666666666666,4.333333333333333,81.0,813.3333333333334,732.3333333333334,0.8783333333333333,3.9166666666666665,2.0,3.6666666666666665,1661.6666666666667,11.666666666666666,0.4085,6.333333333333333,114.0,-14.74,0.0,0.6666666666666666,0.6666666666666666,1.3333333333333333
156,Vancouver Canucks,4,Edmonton Oilers,3,7,1,28.1,82,54,19,9,117,0.713,258,180,4,5,0.87,-0.07,3.15,2.2,72,296,24.32,45,312,85.58,6,2,11.5,11.2,2624,9.8,2470,0.927,5,456.9189189189189,26.56756756756757,39.86486486486486,6.972972972972973,12.0,18.972972972972972,6.621621621621622,25.16216216216216,2.7810810810810813,4.864864864864865,1.945945945945946,0.16216216216216217,1.3513513513513513,8.162162162162161,3.7027027027027026,0.13513513513513514,70.91891891891892,9.813513513513513,655.8108108108108,28.945945945945947,48.4054054054054,71.70270270270271,59.0,45.06818181818181,461.3142857142857,26.6,41.2,547.2857142857143,496.0285714285714,49.24285714285715,-3.8617647058823525,407.8,372.25714285714287,49.425714285714285,-3.805882352941176,9.251428571428571,93.0142857142857,102.26857142857145,49.30571428571429,50.69714285714285,16.514285714285716,14.428571428571429,137.2,51.77142857142858,66.0,27.5,42.5,41.0,27.0,9.5,4.5,88.5,1233.5,1145.0,0.9285000000000001,2.17,2.5,9.6,2481.0,27.5,0.6745000000000001,3.5,82.5,18.955,0.0,3.0,3.0,1.0,30,26.2,82,25,45,12,62,0.378,191,260,2,9,-0.87,0.06,2.33,3.17,44,304,14.47,74,321,76.95,8,2,15.5,14.5,2188,8.7,2597,0.9,4,452.90625,25.15625,46.03125,5.96875,10.5,16.46875,-6.625,38.625,1.559375,4.34375,1.375,0.25,0.71875,7.5625,2.625,0.3125,68.375,6.515625,759.21875,38.09375,56.0625,63.625,80.46875,36.76315789473684,461.76666666666665,25.033333333333335,46.86666666666667,529.4,606.0,45.84000000000001,-1.7689655172413792,381.8333333333333,449.9,45.22666666666667,-1.0482758620689654,7.463333333333333,91.19999999999997,98.66666666666666,49.86999999999998,50.13000000000002,19.466666666666665,27.966666666666665,131.03333333333333,52.10333333333334,29.333333333333332,32.666666666666664,28.333333333333332,27.333333333333332,8.333333333333334,15.0,4.0,83.33333333333333,862.3333333333334,779.0,0.9213333333333334,2.47,1.3333333333333333,4.166666666666667,1649.0,12.0,0.6236666666666667,6.0,111.5,-14.455,0.0,0.3333333333333333,0.3333333333333333,4.666666666666667
157,San Jose Sharks,0,Minnesota Wild,1,1,5,27.9,82,48,25,9,105,0.64,243,208,5,5,0.44,0.02,2.96,2.54,68,290,23.45,56,273,79.49,6,7,11.3,12.0,2832,8.6,2368,0.912,6,472.8965517241379,26.75862068965517,50.89655172413793,8.379310344827585,14.655172413793103,23.03448275862069,3.793103448275862,31.620689655172413,3.037931034482759,5.827586206896552,2.3448275862068964,0.20689655172413793,1.4827586206896552,10.172413793103448,4.344827586206897,0.13793103448275862,97.65517241379311,6.982758620689654,842.1034482758621,39.3448275862069,62.06896551724138,89.0,76.6896551724138,45.51176470588235,472.7307692307692,26.923076923076923,53.92307692307692,752.1923076923077,654.0,51.0576923076923,-1.6239999999999994,559.5384615384615,482.61538461538464,50.96923076923077,-1.7120000000000004,7.3076923076923075,92.10384615384616,99.41538461538464,49.94230769230769,50.05769230769231,25.115384615384617,28.96153846153846,194.19230769230768,52.76153846153846,70.66666666666667,26.666666666666668,28.333333333333332,27.333333333333332,16.0,8.333333333333334,3.0,68.0,788.3333333333334,720.3333333333334,0.9386666666666666,1.6966666666666665,2.0,4.733333333333333,1656.0,16.0,0.5585,3.6666666666666665,105.5,0.625,0.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,21,28.9,82,39,35,8,86,0.524,203,228,3,5,-0.3,0.03,2.48,2.78,53,292,18.15,53,309,82.85,7,7,12,12.1,2148,9.5,2625,0.913,5,428.8235294117647,26.352941176470587,43.38235294117647,5.970588235294118,10.470588235294118,16.441176470588236,-3.911764705882353,28.38235294117647,1.8911764705882348,4.205882352941177,1.5588235294117647,0.20588235294117646,1.0588235294117647,7.4411764705882355,2.823529411764706,0.20588235294117646,63.1764705882353,7.720588235294118,714.2352941176471,33.205882352941174,54.85294117647059,70.82352941176471,68.70588235294117,40.699999999999996,424.57575757575756,26.393939393939394,44.06060606060606,477.1212121212121,574.1818181818181,44.8,-2.7375000000000003,357.27272727272725,436.5151515151515,44.05757575757576,-2.43125,7.218181818181817,91.75454545454545,98.97878787878787,43.52727272727274,56.47575757575756,15.909090909090908,16.939393939393938,119.51515151515152,51.778787878787874,42.0,30.0,29.0,27.333333333333332,13.0,11.666666666666666,2.6666666666666665,72.66666666666667,871.6666666666666,799.0,0.9246666666666666,2.32,1.6666666666666667,5.566666666666667,1653.3333333333333,15.666666666666666,0.5996666666666667,4.0,97.0,3.6550000000000002,0.0,0.3333333333333333,0.3333333333333333,1.3333333333333333
158,Ottawa Senators,3,Toronto Maple Leafs,2,5,26,28.1,82,32,40,10,74,0.451,190,245,2,5,-0.69,0.02,2.32,2.99,45,257,17.51,48,295,83.73,6,4,14.0,11.8,2381,8.0,2559,0.904,5,441.6857142857143,27.257142857142856,42.17142857142857,5.428571428571429,8.914285714285715,14.342857142857143,-7.685714285714286,32.6,1.5828571428571423,3.9714285714285715,1.2857142857142858,0.17142857142857143,0.8571428571428571,6.257142857142857,2.4285714285714284,0.22857142857142856,68.02857142857142,5.544117647058823,692.5428571428571,31.857142857142858,47.371428571428574,65.51428571428572,63.34285714285714,42.647619047619045,436.85714285714283,26.5,42.0,524.0,521.7142857142857,50.15357142857142,0.6444444444444445,391.2142857142857,394.92857142857144,49.96785714285714,0.13703703703703682,6.125,91.32142857142856,97.44285714285715,56.5642857142857,43.43571428571429,18.714285714285715,19.892857142857142,124.5,54.529629629629625,31.166666666666668,25.833333333333332,15.666666666666666,13.666666666666666,5.333333333333333,6.666666666666667,1.6666666666666667,39.666666666666664,425.3333333333333,385.6666666666667,0.8965,3.0816666666666666,0.8333333333333334,2.216666666666667,824.6666666666666,6.666666666666667,0.4086666666666667,3.0,99.33333333333333,-2.9033333333333324,0.0,0.0,0.0,0.3333333333333333,22,25.7,82,37,34,11,85,0.518,213,245,5,6,-0.41,0.0,2.6,2.99,52,326,15.95,62,275,77.45,5,8,12,13.7,2360,9.0,2540,0.904,3,365.93939393939394,25.181818181818183,44.72727272727273,6.454545454545454,10.848484848484848,17.303030303030305,-3.393939393939394,29.12121212121212,1.9363636363636365,4.7272727272727275,1.5757575757575757,0.15151515151515152,0.9696969696969697,7.757575757575758,2.9696969696969697,0.12121212121212122,71.51515151515152,6.43030303030303,739.6666666666666,40.09090909090909,62.06060606060606,71.84848484848484,70.54545454545455,36.76818181818181,358.0,24.75862068965517,44.241379310344826,539.0689655172414,591.2758620689655,47.86551724137931,-1.479310344827586,382.2413793103448,432.6551724137931,46.658620689655166,-2.2482758620689656,6.951724137931033,93.25862068965519,100.21379310344828,50.010344827586216,49.996551724137916,16.413793103448278,23.413793103448278,134.93103448275863,50.67586206896552,45.0,27.0,31.0,27.333333333333332,12.333333333333334,11.333333333333334,3.6666666666666665,78.66666666666667,843.6666666666666,765.0,0.9036666666666667,2.9166666666666665,1.0,4.433333333333334,1651.6666666666667,13.333333333333334,0.462,3.6666666666666665,110.66666666666667,-5.170000000000001,0.0,0.3333333333333333,0.3333333333333333,2.0
159,Tampa Bay Lightning,2,Anaheim Ducks,3,5,8,29.0,82,46,25,11,103,0.628,241,234,6,6,0.04,-0.05,2.94,2.85,69,336,20.54,49,302,83.77,1,16,11.0,11.6,2605,9.3,2354,0.901,7,478.9642857142857,27.035714285714285,52.714285714285715,8.607142857142858,14.928571428571429,23.535714285714285,-2.357142857142857,31.178571428571427,2.8321428571428577,6.107142857142857,2.4642857142857144,0.03571428571428571,1.4285714285714286,10.071428571428571,4.857142857142857,0.0,93.03571428571429,6.425925925925925,870.75,44.607142857142854,58.82142857142857,88.78571428571429,87.42857142857143,42.45294117647059,493.55555555555554,26.88888888888889,53.851851851851855,685.7407407407408,641.5925925925926,50.67777777777777,-0.039999999999999813,516.7407407407408,462.0740740740741,52.1888888888889,-0.07200000000000005,7.362962962962962,86.78888888888889,94.16296296296296,49.040740740740745,50.95925925925926,20.814814814814813,22.51851851851852,173.55555555555554,53.48846153846154,50.0,31.0,22.25,20.5,11.5,6.25,2.75,56.75,586.75,530.0,0.917,2.345,1.75,2.85,1248.5,10.0,0.6035,5.0,114.66666666666667,-8.676666666666668,0.0,0.75,0.75,2.0,11,28.9,82,47,30,5,99,0.604,235,233,4,2,0.09,0.05,2.87,2.84,67,285,23.51,57,305,81.31,7,7,14.4,13.4,2334,10.1,2648,0.912,7,444.4117647058824,28.08823529411765,43.411764705882355,6.911764705882353,12.205882352941176,19.11764705882353,-1.9705882352941178,34.05882352941177,2.276470588235294,4.735294117647059,1.9705882352941178,0.20588235294117646,1.2647058823529411,8.117647058823529,3.823529411764706,0.2647058823529412,68.6470588235294,6.239393939393938,715.5882352941177,36.705882352941174,56.94117647058823,64.88235294117646,71.20588235294117,38.80952380952381,445.375,28.208333333333332,53.708333333333336,597.875,733.0416666666666,43.479166666666664,-2.0,464.2916666666667,555.0416666666666,44.10833333333333,-1.4304347826086956,6.954166666666668,91.44583333333333,98.39999999999998,55.04999999999999,44.949999999999996,17.583333333333332,23.5,153.58333333333334,55.52083333333332,42.0,26.8,18.8,16.4,9.4,6.0,1.0,45.0,528.2,483.2,0.8480000000000001,3.632,1.4,3.2800000000000002,992.8,8.6,0.51025,2.6,103.66666666666667,1.7766666666666662,0.0,0.4,0.4,0.0
